source,target,time_stamps/seconds,time_window
1,2,0,0
3,4,0,0
5,2,1,1
6,7,1,1
8,7,1,1
9,10,1,1
9,11,1,1
12,13,1,1
9,14,1,1
9,15,1,1
9,16,1,1
9,17,1,1
9,14,1,1
9,18,1,1
19,18,1,1
20,21,1,1
19,22,1,1
8,23,1,1
9,24,1,1
9,22,1,1
25,21,1,1
26,7,1,1
27,28,1,1
29,25,1,1
30,31,1,1
30,31,1,1
30,31,1,1
30,31,1,1
32,33,1,1
34,35,1,1
34,33,1,1
36,37,1,1
38,39,1,1
36,40,1,1
41,15,1,1
41,11,1,1
41,14,1,1
41,13,1,1
41,39,1,1
41,42,2,2
41,43,2,2
9,40,2,2
44,45,2,2
46,22,2,2
44,46,2,2
47,46,2,2
48,46,2,2
9,49,2,2
36,50,2,2
44,51,2,2
32,52,2,2
36,32,2,2
53,54,2,2
36,55,2,2
56,57,2,2
36,32,2,2
36,58,2,2
44,59,2,2
51,58,2,2
44,14,2,2
36,56,2,2
36,60,2,2
56,61,2,2
62,50,2,2
36,60,2,2
32,59,2,2
36,60,2,2
36,50,2,2
41,63,2,2
41,64,2,2
41,65,2,2
41,56,2,2
41,61,2,2
41,43,2,2
41,52,2,2
41,58,2,2
41,59,2,2
9,64,2,2
9,58,2,2
12,66,2,2
32,58,2,2
12,66,2,2
67,32,2,2
41,32,2,2
67,32,2,2
32,68,2,2
68,56,2,2
67,32,2,2
67,32,2,2
68,61,2,2
67,32,2,2
67,8,2,2
69,67,2,2
70,51,2,2
44,50,2,2
67,32,2,2
71,58,2,2
71,72,2,2
51,58,2,2
72,71,2,2
73,74,2,2
74,73,2,2
73,74,2,2
74,73,2,2
34,58,2,2
44,75,2,2
44,75,2,2
9,58,2,2
73,74,2,2
9,76,2,2
32,77,2,2
41,76,2,2
41,78,2,2
79,48,2,2
79,63,2,2
41,80,2,2
79,58,2,2
41,81,2,2
79,70,2,2
19,82,2,2
19,72,2,2
12,32,2,2
19,64,2,2
19,58,2,2
19,58,2,2
19,58,2,2
19,52,2,2
83,59,2,2
51,70,2,2
38,58,2,2
41,58,2,2
63,79,2,2
41,63,2,2
67,59,2,2
41,63,2,2
41,58,2,2
44,84,2,2
19,85,2,2
19,72,2,2
3,84,2,2
19,8,2,2
19,58,2,2
84,86,2,2
83,58,2,2
36,60,2,2
86,48,2,2
87,63,2,2
36,88,2,2
87,8,2,2
36,89,2,2
90,56,2,2
36,90,2,2
36,84,2,2
91,92,2,2
36,93,2,2
91,92,2,2
36,90,2,2
91,92,2,2
36,60,2,2
36,84,2,2
51,58,2,2
94,84,2,2
36,84,2,2
94,84,2,2
94,84,2,2
69,84,2,2
69,95,2,2
87,8,2,2
3,84,2,2
3,84,2,2
48,86,2,2
84,8,2,2
91,81,2,2
96,88,2,2
8,84,2,2
84,8,2,2
91,47,2,2
97,98,2,2
98,97,2,2
97,98,2,2
48,97,2,2
99,8,2,2
99,8,2,2
97,48,2,2
100,101,2,2
102,97,2,2
97,48,2,2
97,102,2,2
101,100,2,2
48,58,2,2
97,48,2,2
103,72,2,2
103,58,2,2
104,59,2,2
104,59,2,2
103,72,2,2
105,56,2,2
106,72,2,2
105,61,2,2
105,8,2,2
105,33,2,2
105,107,2,2
105,81,2,2
44,102,2,2
36,105,2,2
36,104,2,2
34,108,2,2
34,109,2,2
36,110,2,2
111,112,2,2
34,58,2,2
36,113,2,2
36,109,2,2
79,109,2,2
114,105,2,2
101,115,2,2
56,90,2,2
56,105,2,2
56,68,2,2
29,58,2,2
87,58,2,2
44,116,2,2
44,117,2,2
44,117,2,2
44,79,2,2
80,58,2,2
96,32,2,2
118,100,2,2
119,120,2,2
119,120,2,2
120,119,2,2
120,75,2,2
119,120,2,2
120,119,2,2
119,58,2,2
74,73,2,2
118,120,2,2
121,108,2,2
72,106,2,2
44,92,2,2
26,122,2,2
44,79,2,2
1,123,2,2
96,124,2,2
125,126,2,2
36,104,2,2
44,79,2,2
44,79,2,2
36,124,2,2
36,127,2,2
36,128,2,2
44,79,2,2
44,129,2,2
44,116,2,2
9,120,2,2
79,58,2,2
36,109,2,2
124,109,2,2
36,109,2,2
124,61,2,2
124,72,2,2
36,109,2,2
36,112,2,2
124,85,2,2
85,124,2,2
32,130,2,2
36,112,2,2
124,85,2,2
72,124,2,2
124,8,2,2
131,30,2,2
99,126,2,2
103,72,2,2
103,72,2,2
103,63,2,2
103,117,2,2
103,72,2,2
131,30,2,2
69,95,2,2
69,124,2,2
69,79,2,2
132,30,2,2
36,99,2,2
36,133,2,2
36,60,2,2
36,134,2,2
36,133,2,2
36,81,2,2
103,72,2,2
103,135,2,2
133,135,2,2
135,133,2,2
36,133,2,2
103,135,2,2
19,52,2,2
133,135,2,2
103,135,2,2
103,135,2,2
135,133,2,2
133,135,2,2
36,133,2,2
36,133,2,2
36,133,2,2
9,109,2,2
9,109,2,2
62,136,2,2
96,32,2,2
137,138,2,2
96,137,2,2
19,120,2,2
44,90,2,2
96,137,2,2
137,138,2,2
19,139,2,2
44,60,2,2
44,88,2,2
44,102,2,2
44,90,2,2
19,111,2,2
44,90,2,2
9,32,2,2
44,90,2,2
44,90,2,2
103,63,2,2
103,72,2,2
38,86,2,2
140,105,2,2
103,72,2,2
38,86,2,2
38,101,2,2
38,101,2,2
38,101,2,2
103,101,2,2
38,101,2,2
103,101,2,2
38,61,2,2
75,120,2,2
38,81,2,2
44,141,2,2
44,141,2,2
44,74,2,2
44,127,2,2
124,135,2,2
140,124,2,2
19,82,2,2
19,82,2,2
19,82,2,2
105,56,2,2
19,82,2,2
124,135,2,2
105,58,2,2
105,63,2,2
19,82,2,2
105,61,2,2
