source,target,time_stamps/seconds,time_window
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
18,19,0,0
18,19,0,0
20,3,0,0
20,21,0,0
20,22,0,0
20,23,0,0
24,25,0,0
26,27,0,0
28,29,0,0
1,7,0,0
29,30,0,0
29,28,0,0
11,31,0,0
11,32,0,0
11,25,0,0
11,33,0,0
31,11,0,0
33,11,0,0
1,7,0,0
34,21,0,0
35,3,0,0
36,37,0,0
36,37,0,0
25,11,0,0
25,24,0,0
23,21,0,0
36,38,0,0
39,21,0,0
13,3,0,0
13,40,0,0
13,8,0,0
13,35,0,0
13,41,0,0
13,4,0,0
42,43,0,0
42,43,0,0
42,43,0,0
42,43,0,0
42,44,0,0
26,45,0,0
46,21,0,0
42,3,0,0
16,1,0,0
16,1,0,0
47,48,0,0
16,8,0,0
47,48,0,0
16,8,0,0
49,42,0,0
26,21,0,0
49,21,0,0
26,32,0,0
29,22,0,0
3,8,0,0
3,13,0,0
3,50,0,0
3,35,0,0
3,51,0,0
3,52,0,0
3,18,0,0
3,53,0,0
3,20,0,0
50,3,0,0
46,1,0,0
54,17,0,0
54,17,0,0
3,50,0,0
1,46,0,0
55,56,0,0
55,50,0,0
8,3,0,0
13,3,0,0
27,42,0,0
19,57,0,0
42,27,0,0
19,58,0,0
19,50,0,0
55,23,0,0
19,21,0,0
19,23,0,0
59,2,0,0
34,24,0,0
39,27,0,0
55,21,0,0
24,34,0,0
55,42,0,0
35,3,0,0
60,23,0,0
59,2,0,0
13,3,0,0
18,3,0,0
61,33,0,0
61,23,0,0
62,42,0,0
62,63,0,0
62,64,0,0
13,3,0,0
13,35,0,0
13,4,0,0
65,50,0,0
65,23,0,0
58,21,0,0
3,66,0,0
3,67,0,0
3,8,0,0
3,35,0,0
3,68,0,0
3,69,0,0
3,17,0,0
70,21,0,0
25,24,0,0
10,7,0,0
5,71,0,0
5,72,0,0
5,73,0,0
5,74,0,0
5,11,0,0
32,11,0,0
10,21,0,0
24,25,0,0
4,13,0,0
4,3,0,0
51,3,0,0
66,27,0,0
15,27,0,0
7,10,0,0
7,1,0,0
50,75,0,0
13,15,0,0
13,40,0,0
75,50,0,0
75,50,0,0
62,15,0,0
62,3,0,0
62,20,0,0
62,8,0,0
62,33,0,0
62,35,0,0
11,5,0,0
66,3,0,0
62,3,0,0
62,15,0,0
62,20,0,0
62,8,0,0
62,33,0,0
62,35,0,0
15,62,0,0
15,62,0,0
62,3,0,0
62,15,0,0
62,20,0,0
62,8,0,0
62,33,0,0
62,35,0,0
15,62,0,0
8,62,0,0
8,62,0,0
8,62,0,0
62,3,0,0
62,15,0,0
62,20,0,0
62,8,0,0
62,33,0,0
62,35,0,0
3,62,0,0
3,62,0,0
35,62,0,0
35,62,0,0
62,3,0,0
62,20,0,0
62,8,0,0
62,33,0,0
62,35,0,0
62,15,0,0
15,62,0,0
8,62,0,0
35,62,0,0
3,62,0,0
35,62,0,0
3,62,0,0
4,16,0,0
15,61,0,0
15,12,0,0
30,32,0,0
1,46,0,0
15,62,0,0
76,19,0,0
3,62,0,0
61,15,0,0
6,7,0,0
6,1,0,0
6,7,0,0
6,1,0,0
74,5,0,0
67,3,0,0
77,27,0,0
78,23,0,0
27,77,0,0
79,43,0,0
79,43,0,0
68,48,0,0
79,43,0,0
79,43,0,0
79,80,0,0
32,15,0,0
15,32,0,0
33,62,0,0
33,62,0,0
33,62,0,0
33,62,0,0
3,81,0,0
3,50,0,0
3,27,0,0
50,47,0,0
20,62,0,0
20,62,0,0
20,62,0,0
20,62,0,0
68,27,0,0
47,50,0,0
52,3,0,0
27,3,0,0
35,3,0,0
80,38,0,0
35,62,0,0
38,80,0,0
50,68,0,0
8,3,0,0
68,50,0,0
8,62,0,0
82,21,0,0
29,22,0,0
26,25,0,0
17,3,0,0
26,24,0,0
13,3,0,0
13,8,0,0
13,35,0,0
13,40,0,0
13,4,0,0
17,56,0,0
17,15,0,0
17,54,0,0
73,5,0,0
8,13,0,0
14,77,0,0
54,17,0,0
56,17,0,0
68,74,0,0
35,13,0,0
68,48,0,0
68,3,0,0
1,73,0,0
68,74,0,0
73,1,0,0
11,83,0,0
73,1,0,0
84,85,0,0
84,42,0,0
53,3,0,0
69,86,0,0
86,69,0,0
84,42,0,0
33,62,0,0
68,85,0,0
84,42,0,0
33,15,0,0
33,61,0,0
33,15,0,0
61,33,0,0
12,15,0,0
42,62,0,0
31,21,0,0
24,62,0,0
24,51,0,0
24,3,0,0
24,8,0,0
1,73,0,0
76,84,0,0
51,24,0,0
74,1,0,0
1,74,0,0
64,67,0,0
76,50,0,0
86,57,0,0
3,24,0,0
4,13,0,0
50,76,0,0
76,50,0,0
69,86,0,0
3,13,0,0
46,1,0,0
73,5,0,0
5,73,0,0
26,45,0,0
77,27,0,0
76,19,0,0
54,56,0,0
21,86,0,0
8,24,0,0
32,87,0,0
32,7,0,0
86,21,0,0
42,33,0,0
77,27,0,0
77,14,0,0
21,56,0,0
21,84,0,0
21,88,0,0
21,76,0,0
21,89,0,0
21,68,0,0
21,86,0,0
21,90,0,0
21,47,0,0
21,85,0,0
21,69,0,0
21,48,0,0
76,19,0,0
84,21,0,0
86,21,0,0
89,21,0,0
48,21,0,0
67,64,0,0
12,31,0,0
12,25,0,0
47,21,0,0
76,19,0,0
68,21,0,0
76,21,0,0
77,14,0,0
21,56,0,0
21,69,0,0
21,88,0,0
21,76,0,0
21,86,0,0
21,90,0,0
21,84,0,0
21,89,0,0
76,21,0,0
31,12,0,0
86,21,0,0
89,21,0,0
84,21,0,0
14,77,0,0
77,14,0,0
45,63,0,0
72,5,0,0
72,15,0,0
72,5,0,0
72,71,0,0
77,26,0,0
77,15,0,0
77,39,0,0
77,38,0,0
77,66,0,0
77,24,0,0
77,3,0,0
27,77,0,0
27,69,0,0
59,69,0,0
1,2,0,0
2,1,0,0
35,62,0,0
35,3,0,0
35,20,0,0
27,80,0,0
80,27,0,0
38,34,0,0
63,44,0,0
38,34,0,0
62,38,0,0
62,20,0,0
62,27,0,0
62,59,0,0
62,39,0,0
62,69,0,0
62,72,0,0
62,9,0,0
62,64,0,0
62,15,0,0
62,26,0,0
62,3,0,0
62,68,0,0
62,91,0,0
62,80,0,0
62,79,0,0
59,62,0,0
19,86,0,0
86,19,0,0
33,15,0,0
77,27,0,0
80,62,0,0
1,74,0,0
45,43,0,0
3,35,0,0
3,62,0,0
80,62,0,0
9,62,0,0
69,84,0,0
25,12,0,0
68,62,0,0
79,62,0,0
15,33,0,0
29,63,0,0
18,3,0,0
18,3,0,0
69,76,0,0
76,50,0,0
75,50,0,0
50,76,0,0
10,7,0,0
76,50,0,0
29,42,0,0
74,1,0,0
7,10,0,0
19,66,0,0
19,18,0,0
19,7,0,0
19,90,0,0
19,1,0,0
19,38,0,0
19,67,0,0
19,9,0,0
19,17,0,0
19,91,0,0
74,9,0,0
74,92,0,0
74,14,0,0
74,65,0,0
74,72,0,0
7,19,0,0
1,19,0,0
65,74,0,0
76,19,0,0
76,93,0,0
13,1,0,0
1,13,0,0
14,74,0,0
1,13,0,0
17,1,0,0
4,48,0,0
1,17,0,0
73,72,0,0
22,94,0,0
9,74,0,0
3,85,0,0
9,17,0,0
9,19,0,0
85,3,0,0
15,33,0,0
88,21,0,0
15,33,0,0
88,21,0,0
15,62,0,0
15,17,0,0
18,19,0,0
48,4,0,0
48,4,0,0
27,62,0,0
69,84,0,0
72,73,0,0
72,62,0,0
72,74,0,0
9,66,0,0
9,67,0,0
13,1,0,0
13,1,0,0
4,48,0,0
1,13,0,0
33,5,0,0
69,95,0,0
61,96,0,0
85,21,0,0
13,65,0,0
4,65,0,0
65,13,0,0
42,29,0,0
12,15,0,0
15,12,0,0
42,22,0,0
88,15,0,0
88,61,0,0
88,96,0,0
88,12,0,0
50,75,0,0
65,13,0,0
15,32,0,0
32,15,0,0
13,65,0,0
26,45,0,0
26,62,0,0
88,61,0,0
88,96,0,0
88,12,0,0
88,15,0,0
32,30,0,0
75,50,0,0
32,30,0,0
67,9,0,0
67,9,0,0
67,66,0,0
67,19,0,0
13,65,0,0
33,15,0,0
33,46,0,0
33,58,0,0
33,22,0,0
33,42,0,0
33,93,0,0
83,63,0,0
83,63,0,0
65,13,0,0
83,63,0,0
83,11,0,0
32,30,0,0
32,97,0,0
70,75,0,0
20,62,0,0
63,22,0,0
15,33,0,0
86,19,0,0
86,40,0,0
42,64,0,0
42,63,0,0
42,22,0,0
42,43,0,0
63,42,0,0
45,62,0,0
22,98,0,0
75,70,0,0
63,62,0,0
63,45,0,0
56,54,0,0
63,37,0,0
63,29,0,0
63,83,0,0
63,83,0,0
63,83,0,0
33,42,0,0
66,19,0,0
66,9,0,0
98,22,0,0
86,19,0,0
32,7,0,0
59,72,0,0
74,4,0,0
46,1,0,0
4,74,0,0
1,46,0,0
32,30,0,0
33,15,0,0
37,63,0,0
37,63,0,0
90,18,0,0
1,46,0,0
90,21,0,0
90,21,0,0
69,76,0,0
90,19,0,0
85,68,0,0
69,84,0,0
68,85,0,0
76,69,0,0
69,84,0,0
76,84,0,0
99,18,0,0
99,21,0,0
99,93,0,0
38,67,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,2,0,0
1,3,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,4,0,0
1,16,0,0
1,17,0,0
18,90,0,0
96,15,0,0
96,61,0,0
96,12,0,0
33,42,0,0
63,37,0,0
17,19,0,0
42,33,0,0
100,98,0,0
100,42,0,0
100,21,0,0
61,96,0,0
39,62,0,0
15,96,0,0
33,42,0,0
17,9,0,0
3,13,0,0
3,66,0,0
3,67,0,0
3,8,0,0
3,35,0,0
3,4,0,0
3,68,0,0
3,69,0,0
3,85,0,0
3,17,0,0
66,3,0,0
35,3,0,0
54,15,0,0
54,10,0,0
13,3,0,0
83,63,0,0
29,7,0,0
7,29,0,0
92,74,0,0
7,29,0,0
17,3,0,0
15,66,0,0
66,15,0,0
46,1,0,0
29,7,0,0
8,3,0,0
67,3,0,0
83,15,0,0
83,5,0,0
67,38,0,0
17,15,0,0
17,56,0,0
17,54,0,0
38,36,0,0
10,54,0,0
54,17,0,0
42,7,0,0
56,17,0,0
56,88,0,0
56,21,0,0
56,21,0,0
68,3,0,0
7,42,0,0
63,83,0,0
32,87,0,0
27,81,0,0
27,101,0,0
27,93,0,0
27,102,0,0
101,27,0,0
43,42,0,0
93,27,0,0
13,3,0,0
72,15,0,0
42,33,0,0
3,66,0,0
42,27,0,0
68,64,0,0
42,7,0,0
33,15,0,0
87,32,0,0
15,33,0,0
84,85,0,0
15,54,0,0
15,17,0,0
15,83,0,0
56,54,0,0
27,81,0,0
54,56,0,0
87,74,0,0
7,22,0,0
87,74,0,0
87,74,0,0
42,27,0,0
29,23,0,0
23,29,0,0
29,42,0,0
91,19,0,0
91,62,0,0
91,80,0,0
15,7,0,0
15,1,0,0
26,32,0,0
1,15,0,0
7,15,0,0
69,64,0,0
66,3,0,0
48,56,0,0
91,23,0,0
91,50,0,0
12,96,0,0
56,48,0,0
91,63,0,0
69,64,0,0
91,64,0,0
76,53,0,0
103,52,0,0
74,104,0,0
69,76,0,0
103,83,0,0
15,56,0,0
4,3,0,0
52,103,0,0
48,53,0,0
42,29,0,0
88,56,0,0
24,25,0,0
24,32,0,0
32,24,0,0
54,33,0,0
25,24,0,0
33,54,0,0
76,50,0,0
52,103,0,0
103,52,0,0
93,19,0,0
56,15,0,0
70,53,0,0
86,68,0,0
86,90,0,0
86,53,0,0
76,69,0,0
4,81,0,0
4,3,0,0
4,13,0,0
4,35,0,0
4,27,0,0
4,93,0,0
4,101,0,0
93,4,0,0
101,4,0,0
12,72,0,0
12,15,0,0
13,4,0,0
56,81,0,0
56,15,0,0
56,54,0,0
54,56,0,0
72,12,0,0
33,83,0,0
56,81,0,0
56,15,0,0
56,54,0,0
72,73,0,0
72,74,0,0
33,5,0,0
54,15,0,0
54,56,0,0
33,61,0,0
4,3,0,0
4,35,0,0
4,81,0,0
4,93,0,0
4,101,0,0
4,27,0,0
101,4,0,0
93,4,0,0
61,33,0,0
7,80,0,0
3,4,0,0
59,69,0,0
59,86,0,0
59,84,0,0
59,76,0,0
59,88,0,0
59,67,0,0
59,94,0,0
59,68,0,0
59,56,0,0
59,85,0,0
59,89,0,0
59,48,0,0
59,47,0,0
59,2,0,0
3,4,0,0
4,18,0,0
27,4,0,0
80,64,0,0
27,4,0,0
75,50,0,0
69,76,0,0
75,50,0,0
54,56,0,0
56,54,0,0
64,80,0,0
84,69,0,0
83,33,0,0
35,4,0,0
83,33,0,0
38,32,0,0
35,4,0,0
83,103,0,0
56,61,0,0
56,96,0,0
56,15,0,0
70,53,0,0
52,103,0,0
52,105,0,0
61,56,0,0
22,94,0,0
105,52,0,0
48,47,0,0
48,47,0,0
4,106,0,0
103,52,0,0
48,47,0,0
18,4,0,0
86,19,0,0
94,22,0,0
96,56,0,0
103,105,0,0
105,103,0,0
3,13,0,0
13,3,0,0
19,18,0,0
19,18,0,0
94,22,0,0
74,1,0,0
84,42,0,0
94,22,0,0
18,19,0,0
18,107,0,0
18,108,0,0
18,55,0,0
18,99,0,0
18,109,0,0
18,110,0,0
18,111,0,0
18,57,0,0
51,3,0,0
51,35,0,0
51,8,0,0
59,68,0,0
59,56,0,0
59,84,0,0
59,88,0,0
59,47,0,0
59,94,0,0
59,69,0,0
59,85,0,0
59,86,0,0
59,89,0,0
59,48,0,0
59,76,0,0
59,2,0,0
1,74,0,0
3,51,0,0
45,63,0,0
19,18,0,0
25,26,0,0
81,56,0,0
81,56,0,0
81,4,0,0
81,4,0,0
15,56,0,0
22,94,0,0
47,48,0,0
75,50,0,0
15,12,0,0
15,72,0,0
1,74,0,0
83,103,0,0
88,18,0,0
84,76,0,0
63,45,0,0
85,3,0,0
55,18,0,0
38,13,0,0
38,15,0,0
38,39,0,0
103,83,0,0
66,59,0,0
85,48,0,0
59,66,0,0
53,31,0,0
48,85,0,0
72,15,0,0
4,86,0,0
4,35,0,0
69,86,0,0
64,66,0,0
64,67,0,0
35,4,0,0
69,76,0,0
73,72,0,0
86,4,0,0
13,35,0,0
50,76,0,0
76,50,0,0
13,4,0,0
1,85,0,0
84,86,0,0
84,76,0,0
84,69,0,0
84,89,0,0
84,88,0,0
86,19,0,0
48,47,0,0
76,50,0,0
75,1,0,0
1,75,0,0
76,69,0,0
85,1,0,0
50,76,0,0
76,50,0,0
1,75,0,0
20,35,0,0
75,1,0,0
47,48,0,0
42,112,0,0
112,42,0,0
13,17,0,0
72,73,0,0
18,1,0,0
18,7,0,0
18,47,0,0
8,51,0,0
1,18,0,0
27,3,0,0
27,15,0,0
27,66,0,0
27,26,0,0
27,13,0,0
27,39,0,0
27,62,0,0
3,27,0,0
26,27,0,0
53,70,0,0
1,18,0,0
53,76,0,0
53,48,0,0
47,18,0,0
7,18,0,0
54,15,0,0
54,61,0,0
53,70,0,0
15,56,0,0
3,77,0,0
3,8,0,0
3,66,0,0
66,3,0,0
4,13,0,0
3,8,0,0
3,18,0,0
3,13,0,0
3,50,0,0
3,53,0,0
3,35,0,0
3,51,0,0
3,52,0,0
68,85,0,0
52,3,0,0
8,3,0,0
26,25,0,0
8,3,0,0
50,47,0,0
26,45,0,0
83,30,0,0
56,15,0,0
30,83,0,0
68,85,0,0
61,54,0,0
69,84,0,0
50,75,0,0
47,50,0,0
104,18,0,0
104,109,0,0
104,57,0,0
39,27,0,0
15,56,0,0
15,56,0,0
15,54,0,0
75,50,0,0
68,85,0,0
50,75,0,0
74,1,0,0
53,3,0,0
94,22,0,0
59,94,0,0
59,67,0,0
21,86,0,0
86,21,0,0
68,85,0,0
59,67,0,0
59,94,0,0
50,75,0,0
38,37,0,0
68,85,0,0
38,37,0,0
38,22,0,0
68,85,0,0
112,77,0,0
69,86,0,0
69,76,0,0
59,67,0,0
59,94,0,0
86,40,0,0
86,75,0,0
86,49,0,0
86,27,0,0
86,93,0,0
86,101,0,0
84,69,0,0
1,13,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,2,0,0
1,3,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,6,0,0
1,7,0,0
1,2,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,4,0,0
1,16,0,0
1,38,0,0
18,1,0,0
18,104,0,0
18,3,0,0
13,27,0,0
13,3,0,0
13,35,0,0
13,17,0,0
13,3,0,0
13,4,0,0
13,17,0,0
13,17,0,0
35,3,0,0
96,15,0,0
96,61,0,0
96,12,0,0
33,34,0,0
27,64,0,0
61,96,0,0
75,50,0,0
75,50,0,0
34,33,0,0
94,2,0,0
113,21,0,0
64,27,0,0
15,96,0,0
64,27,0,0
3,66,0,0
3,67,0,0
3,8,0,0
3,35,0,0
3,13,0,0
3,4,0,0
3,68,0,0
3,85,0,0
3,69,0,0
3,17,0,0
13,3,0,0
4,3,0,0
52,3,0,0
8,3,0,0
3,52,0,0
64,42,0,0
3,52,0,0
3,62,0,0
3,20,0,0
94,9,0,0
94,92,0,0
94,65,0,0
94,14,0,0
52,3,0,0
4,53,0,0
35,3,0,0
7,22,0,0
67,3,0,0
72,67,0,0
12,96,0,0
100,7,0,0
35,13,0,0
66,3,0,0
50,13,0,0
50,54,0,0
50,15,0,0
32,112,0,0
53,4,0,0
50,76,0,0
42,64,0,0
76,50,0,0
76,50,0,0
56,68,0,0
68,3,0,0
68,56,0,0
68,56,0,0
15,50,0,0
13,50,0,0
103,114,0,0
15,5,0,0
15,83,0,0
15,61,0,0
54,50,0,0
27,64,0,0
112,9,0,0
54,50,0,0
54,15,0,0
43,79,0,0
17,15,0,0
17,54,0,0
17,56,0,0
17,3,0,0
54,17,0,0
56,17,0,0
56,88,0,0
104,18,0,0
104,109,0,0
104,57,0,0
88,56,0,0
42,63,0,0
80,31,0,0
80,67,0,0
80,66,0,0
66,80,0,0
31,80,0,0
9,112,0,0
51,3,0,0
7,1,0,0
67,80,0,0
1,7,0,0
84,19,0,0
77,112,0,0
67,115,0,0
1,38,0,0
2,68,0,0
2,94,0,0
2,69,0,0
2,56,0,0
2,85,0,0
2,86,0,0
2,84,0,0
2,89,0,0
2,48,0,0
2,76,0,0
2,88,0,0
2,47,0,0
2,32,0,0
2,59,0,0
32,2,0,0
84,2,0,0
89,2,0,0
59,2,0,0
88,89,0,0
88,69,0,0
48,2,0,0
88,2,0,0
56,2,0,0
42,64,0,0
42,62,0,0
47,2,0,0
1,7,0,0
38,22,0,0
76,2,0,0
3,66,0,0
82,50,0,0
48,4,0,0
37,38,0,0
54,15,0,0
47,68,0,0
38,66,0,0
66,64,0,0
50,82,0,0
64,42,0,0
68,47,0,0
67,115,0,0
26,45,0,0
86,2,0,0
66,38,0,0
7,1,0,0
18,104,0,0
64,66,0,0
72,67,0,0
92,65,0,0
92,9,0,0
92,116,0,0
37,38,0,0
64,9,0,0
9,64,0,0
80,79,0,0
80,18,0,0
80,9,0,0
80,63,0,0
80,42,0,0
80,104,0,0
80,45,0,0
80,72,0,0
80,69,0,0
80,68,0,0
80,91,0,0
80,62,0,0
80,27,0,0
104,80,0,0
4,48,0,0
4,35,0,0
42,22,0,0
27,80,0,0
42,80,0,0
76,53,0,0
76,9,0,0
68,2,0,0
9,80,0,0
68,80,0,0
66,3,0,0
9,14,0,0
7,30,0,0
7,22,0,0
7,31,0,0
7,38,0,0
7,55,0,0
7,15,0,0
7,3,0,0
7,51,0,0
7,29,0,0
7,63,0,0
7,90,0,0
7,35,0,0
7,115,0,0
7,70,0,0
7,1,0,0
7,27,0,0
7,43,0,0
7,59,0,0
7,44,0,0
7,81,0,0
7,32,0,0
7,58,0,0
7,57,0,0
7,83,0,0
7,72,0,0
7,42,0,0
7,8,0,0
7,24,0,0
7,14,0,0
7,100,0,0
7,13,0,0
7,20,0,0
7,33,0,0
7,34,0,0
7,4,0,0
7,45,0,0
7,68,0,0
7,6,0,0
7,117,0,0
7,74,0,0
7,105,0,0
7,67,0,0
24,7,0,0
68,7,0,0
59,7,0,0
1,7,0,0
3,7,0,0
105,7,0,0
115,7,0,0
58,7,0,0
82,50,0,0
18,80,0,0
6,7,0,0
45,7,0,0
6,8,0,0
6,8,0,0
109,104,0,0
79,80,0,0
27,7,0,0
29,7,0,0
90,7,0,0
109,104,0,0
109,18,0,0
55,7,0,0
109,82,0,0
4,7,0,0
63,7,0,0
63,80,0,0
81,56,0,0
81,15,0,0
33,83,0,0
30,7,0,0
13,7,0,0
42,7,0,0
56,81,0,0
109,18,0,0
33,7,0,0
35,7,0,0
15,9,0,0
9,15,0,0
35,4,0,0
68,53,0,0
15,81,0,0
70,7,0,0
65,59,0,0
4,1,0,0
4,7,0,0
65,59,0,0
18,3,0,0
18,51,0,0
50,76,0,0
76,50,0,0
64,66,0,0
30,33,0,0
30,15,0,0
30,54,0,0
30,3,0,0
30,8,0,0
30,17,0,0
8,7,0,0
30,3,0,0
30,17,0,0
30,20,0,0
30,35,0,0
8,30,0,0
74,7,0,0
30,33,0,0
30,15,0,0
30,54,0,0
30,5,0,0
43,7,0,0
30,39,0,0
30,35,0,0
64,66,0,0
30,7,0,0
30,32,0,0
32,30,0,0
24,27,0,0
7,30,0,0
61,15,0,0
54,30,0,0
54,30,0,0
41,81,0,0
38,32,0,0
32,26,0,0
38,37,0,0
27,81,0,0
27,32,0,0
27,47,0,0
27,15,0,0
27,24,0,0
27,26,0,0
27,38,0,0
27,64,0,0
27,42,0,0
27,117,0,0
27,3,0,0
27,72,0,0
27,68,0,0
27,69,0,0
27,56,0,0
27,39,0,0
27,83,0,0
27,80,0,0
27,62,0,0
27,67,0,0
27,66,0,0
24,27,0,0
3,27,0,0
84,27,0,0
68,62,0,0
94,83,0,0
94,26,0,0
94,59,0,0
94,30,0,0
64,27,0,0
33,30,0,0
68,27,0,0
53,76,0,0
42,27,0,0
64,42,0,0
94,2,0,0
3,8,0,0
3,52,0,0
3,18,0,0
3,53,0,0
3,50,0,0
3,35,0,0
3,51,0,0
3,13,0,0
3,20,0,0
3,83,0,0
72,80,0,0
42,64,0,0
52,3,0,0
53,68,0,0
53,3,0,0
32,27,0,0
38,63,0,0
38,22,0,0
3,30,0,0
