source,target,time_stamps/seconds,time_window
1157,1232,0,0
1157,1191,0,0
1157,1159,0,0
1157,1159,0,0
1159,1191,0,0
1159,1191,0,0
1159,1191,0,0
1159,1191,0,0
1159,1191,0,0
1144,1159,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1144,1191,0,0
1157,1159,0,0
1144,1191,0,0
1144,1159,0,0
1157,1159,0,0
1144,1159,0,0
1157,1159,0,0
1144,1159,0,0
1144,1159,0,0
1152,1191,0,0
1152,1191,0,0
1152,1191,0,0
1105,1295,0,0
1105,1295,0,0
1157,1191,0,0
1157,1191,0,0
1157,1191,0,0
1105,1295,0,0
1105,1295,0,0
1109,1295,0,0
1105,1295,0,0
1105,1114,0,0
1105,1295,0,0
1109,1115,0,0
1109,1115,0,0
1109,1295,0,0
1098,1181,0,0
1105,1109,0,0
1105,1295,0,0
1098,1164,0,0
1105,1295,0,0
1116,1164,0,0
1164,1295,0,0
1232,1295,0,0
1105,1295,0,0
1109,1164,0,0
1116,1164,0,0
1116,1295,0,0
1109,1232,0,0
1116,1164,0,0
1109,1232,0,0
1114,1295,0,0
1193,1232,0,0
1109,1232,0,0
1116,1164,0,0
1109,1193,0,0
1193,1295,0,0
1142,1149,0,0
1109,1232,0,0
1098,1114,0,0
1116,1164,0,0
1109,1295,0,0
1193,1295,0,0
1116,1193,0,0
1164,1193,0,0
1116,1164,0,0
1193,1295,0,0
1116,1193,0,0
1164,1295,0,0
1164,1193,0,0
1105,1164,0,0
1193,1295,0,0
1116,1295,0,0
1164,1295,0,0
1114,1116,0,0
1105,1179,0,0
1105,1232,0,0
1098,1114,0,0
1179,1232,0,0
1114,1116,0,0
1193,1232,0,0
1105,1232,0,0
1098,1114,0,0
1181,1232,0,0
1105,1232,0,0
1164,1232,0,0
1098,1114,0,0
1105,1164,0,0
1114,1116,0,0
1181,1295,0,0
1098,1114,0,0
1232,1295,0,0
1105,1295,0,0
1105,1164,0,0
1098,1114,0,0
1232,1295,0,0
1105,1232,0,0
1105,1295,0,0
1105,1109,0,0
1098,1193,0,0
1105,1232,0,0
1105,1193,0,0
1105,1295,0,0
1109,1193,0,0
1109,1295,0,0
1105,1109,0,0
1105,1232,0,0
1105,1193,0,0
1109,1193,0,0
1193,1295,0,0
1116,1193,0,0
1105,1193,0,0
1105,1295,0,0
