source,target,time_stamps/seconds,time_window
1170,1644,0,0
1170,1613,0,0
1170,1644,0,0
1181,1651,0,0
1108,1190,0,0
1671,1672,0,0
1660,1662,0,0
803,849,0,0
1144,1644,0,0
656,682,0,0
1148,1644,0,0
1613,1672,0,0
656,682,0,0
1632,1671,0,0
1492,1613,0,0
656,682,0,0
1632,1671,0,0
1148,1644,0,0
656,682,0,0
1108,1601,0,0
1632,1671,0,0
626,698,0,0
1148,1644,0,0
1148,1644,0,0
1108,1601,0,0
656,682,0,0
1632,1671,0,0
1148,1644,0,0
1632,1671,0,0
1632,1671,0,0
683,692,0,0
610,692,0,0
636,643,0,0
683,692,0,0
1632,1671,0,0
654,694,0,0
683,692,0,0
654,694,0,0
1632,1671,0,0
654,694,0,0
626,698,0,0
1632,1671,0,0
654,694,0,0
1632,1671,0,0
654,694,0,0
654,694,0,0
610,623,0,0
683,692,0,0
654,694,0,0
683,692,0,0
636,643,0,0
654,694,0,0
683,692,0,0
654,694,0,0
610,623,0,0
683,692,0,0
654,694,0,0
610,623,0,0
683,692,0,0
1632,1671,0,0
654,694,0,0
683,692,0,0
1632,1671,0,0
654,694,0,0
683,692,0,0
1632,1671,0,0
1632,1671,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
654,694,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
1632,1671,0,0
683,692,0,0
683,692,0,0
1632,1671,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
654,694,0,0
683,692,0,0
654,694,0,0
683,692,0,0
683,692,0,0
683,692,0,0
636,643,0,0
1632,1671,0,0
683,692,0,0
636,643,0,0
683,692,0,0
683,692,0,0
683,692,0,0
683,692,0,0
1644,1662,0,0
654,694,0,0
683,692,0,0
1644,1662,0,0
654,694,0,0
1644,1662,0,0
654,694,0,0
652,661,0,0
683,692,0,0
654,694,0,0
683,692,0,0
683,692,0,0
1644,1662,0,0
654,694,0,0
683,692,0,0
654,694,0,0
683,692,0,0
683,692,0,0
654,694,0,0
1108,1601,0,0
616,661,0,0
616,661,0,0
613,658,0,0
654,694,0,0
654,694,0,0
658,698,0,0
692,698,0,0
654,694,0,0
613,698,0,0
610,658,0,0
610,623,0,0
654,694,0,0
1170,1672,0,0
654,694,0,0
616,661,0,0
654,694,0,0
613,658,0,0
610,658,0,0
616,661,0,0
613,658,0,0
613,658,0,0
1108,1601,0,0
613,658,0,0
654,694,0,0
610,658,0,0
654,694,0,0
1108,1601,0,0
626,698,0,0
1170,1672,0,0
636,643,0,0
626,698,0,0
626,698,0,0
610,658,0,0
626,698,0,0
1108,1601,0,0
654,694,0,0
652,661,0,0
626,698,0,0
1108,1601,0,0
626,698,0,0
613,658,0,0
1632,1671,0,0
654,694,0,0
626,698,0,0
654,694,0,0
654,694,0,0
613,658,0,0
626,698,0,0
652,661,0,0
1170,1672,0,0
613,658,0,0
626,698,0,0
652,661,0,0
613,658,0,0
651,694,0,0
626,698,0,0
1613,1672,0,0
1170,1672,0,0
654,694,0,0
652,661,0,0
613,658,0,0
626,698,0,0
1613,1629,0,0
1613,1672,0,0
654,694,0,0
626,698,0,0
654,694,0,0
1492,1613,0,0
1164,1657,0,0
