source,target,time_stamps/seconds,time_window
1,4,0,0
3,4,0,0
1,2,0,0
25,1,0,0
14,16,0,0
1,16,0,0
22,16,0,0
1,2,0,0
3,16,0,0
2,1,0,0
27,1,0,0
13,16,0,0
1,28,0,0
21,1,0,0
1,7,0,0
32,1,0,0
7,27,0,0
32,1,0,0
32,27,0,0
1450,22,0,0
37,1,0,0
37,1,0,0
1,2,0,0
37,1,0,0
32,1,0,0
19,16,0,0
40,2,0,0
42,2,0,0
2,32,0,0
2,32,0,0
45,3,0,0
45,32,0,0
40,7,0,0
45,44,0,0
40,42,0,0
50,27,0,0
50,16,0,0
1,44,0,0
54,44,0,0
45,44,0,0
3,56,0,0
19,44,0,0
60,32,0,0
42,40,0,0
42,1,0,0
65,2,0,0
65,4,0,0
65,3,0,0
40,2,0,0
1,44,0,0
66,65,0,0
3,66,0,0
37,65,0,0
45,1,0,0
65,2,0,0
66,1,0,0
66,3,0,0
70,65,0,0
66,56,0,0
66,1,0,0
45,44,0,0
4,2,0,0
4,65,0,0
65,75,0,0
37,66,0,0
1,71,0,0
75,83,0,0
86,75,0,0
75,85,0,0
40,1,0,0
66,85,0,0
66,85,0,0
66,2,0,0
75,1,0,0
45,85,0,0
83,65,0,0
83,4,0,0
25,1,0,0
66,16,0,0
66,3,0,0
66,3,0,0
78,1,0,0
40,91,0,0
66,83,0,0
25,83,0,0
78,83,0,0
83,2,0,0
45,78,0,0
45,2,0,0
1,2,0,0
40,1,0,0
40,2,0,0
65,78,0,0
65,78,0,0
65,83,0,0
94,2,0,0
100,1,0,0
102,3,0,0
88,81,0,0
102,66,0,0
45,91,0,0
88,81,0,0
66,81,0,0
100,1,0,0
110,3,0,0
40,1,0,0
66,16,0,0
27,1,0,0
45,1,0,0
75,1,0,0
3,83,0,0
22,66,0,0
1004,85,0,0
66,83,0,0
66,83,0,0
66,83,0,0
297,22,0,0
297,83,0,0
297,83,0,0
297,2,0,0
121,2,0,0
66,7,0,0
45,126,0,0
66,1,0,0
66,1,0,0
121,2,0,0
121,45,0,0
121,7,0,0
65,83,0,0
65,97,0,0
65,450,0,0
121,65,0,0
184,65,0,0
132,66,0,0
158,151,0,0
121,158,0,0
200,158,0,0
204,164,0,0
65,158,0,0
65,184,0,0
4,83,0,0
30,158,0,0
213,164,0,0
136,164,0,0
121,211,0,0
136,211,0,0
121,65,0,0
66,65,0,0
83,65,0,0
65,3,0,0
121,65,0,0
121,83,0,0
42,1,0,0
65,2,0,0
65,231,0,0
3,238,0,0
75,1,0,0
1198,91,0,0
297,85,0,0
297,85,0,0
297,85,0,0
110,65,0,0
297,85,0,0
297,22,0,0
184,78,0,0
297,259,0,0
66,266,0,0
121,266,0,0
2,184,0,0
121,1,0,0
65,1,0,0
65,66,0,0
65,142,0,0
65,121,0,0
83,142,0,0
3,142,0,0
11,65,0,0
271,65,0,0
66,65,0,0
184,83,0,0
184,1,0,0
259,1,0,0
22,1,0,0
22,66,0,0
3,83,0,0
136,1,0,0
259,83,0,0
22,1,0,0
121,83,0,0
78,1,0,0
22,184,0,0
22,1,0,0
11,273,0,0
279,1,0,0
184,22,0,0
66,65,0,0
83,135,0,0
25,135,0,0
93,266,0,0
121,32,0,0
284,22,0,0
142,135,0,0
132,27,0,0
284,184,0,0
284,142,0,0
22,184,0,0
284,83,0,0
110,83,0,0
66,293,0,0
45,293,0,0
297,2,0,0
284,3,0,0
132,66,0,0
121,93,0,0
121,2,0,0
299,2,0,0
102,184,0,0
121,184,0,0
121,65,0,0
22,65,0,0
2,65,0,0
83,65,0,0
65,78,0,0
65,78,0,0
75,184,0,0
65,83,0,0
121,83,0,0
75,65,0,0
49,83,0,0
49,284,0,0
93,11,0,0
75,11,0,0
75,303,0,0
25,65,0,0
132,1,0,0
1464,81,0,0
121,83,0,0
290,27,0,0
121,1657,0,0
66,290,0,0
22,66,0,0
284,66,0,0
66,290,0,0
25,83,0,0
297,290,0,0
25,256,0,0
297,1657,0,0
65,1657,0,0
121,259,0,0
11,290,0,0
302,238,0,0
143,256,0,0
312,16,0,0
45,303,0,0
143,16,0,0
910,83,0,0
2,1,0,0
204,16,0,0
317,1,0,0
317,1657,0,0
71,290,0,0
121,184,0,0
2,259,0,0
102,1,0,0
323,321,0,0
66,321,0,0
326,321,0,0
327,238,0,0
22,321,0,0
402,284,0,0
284,66,0,0
343,284,0,0
343,121,0,0
348,1,0,0
302,83,0,0
121,2,0,0
347,336,0,0
121,132,0,0
66,336,0,0
349,16,0,0
25,347,0,0
75,336,0,0
121,290,0,0
75,347,0,0
36108,3,0,0
22,353,0,0
349,259,0,0
344,1,0,0
136,83,0,0
360,121,0,0
2,83,0,0
2,83,0,0
349,121,0,0
66,361,0,0
343,11,0,0
1,11,0,0
2,361,0,0
27,11,0,0
25,11,0,0
100,121,0,0
22,337,0,0
22,337,0,0
297,2,0,0
370,83,0,0
370,1657,0,0
27,290,0,0
22,290,0,0
986,297,0,0
2,297,0,0
367,32,0,0
370,259,0,0
351,337,0,0
376,83,0,0
375,83,0,0
371,1,0,0
378,28,0,0
381,284,0,0
382,1,0,0
381,65,0,0
381,83,0,0
381,142,0,0
381,65,0,0
13265,1,0,0
13265,1,0,0
302,382,0,0
360,293,0,0
360,65,0,0
360,343,0,0
66,1,0,0
392,1,0,0
360,361,0,0
392,32,0,0
393,1,0,0
121,360,0,0
345,93,0,0
332,83,0,0
332,1,0,0
25,385,0,0
317,343,0,0
382,11,0,0
317,83,0,0
317,399,0,0
11,398,0,0
401,22,0,0
143,3,0,0
143,44,0,0
317,3,0,0
344,1,0,0
65,361,0,0
317,44,0,0
317,303,0,0
346,142,0,0
350,25,0,0
143,85,0,0
290,1,0,0
405,382,0,0
1,332,0,0
404,1657,0,0
317,290,0,0
405,256,0,0
2467,1,0,0
382,290,0,0
321,410,0,0
83,290,0,0
66,317,0,0
346,83,0,0
412,410,0,0
405,399,0,0
404,290,0,0
135,1,0,0
75,290,0,0
350,290,0,0
450,317,0,0
346,1,0,0
102,290,0,0
102,290,0,0
102,290,0,0
382,83,0,0
182,83,0,0
399,1,0,0
382,416,0,0
310,410,0,0
343,25,0,0
321,83,0,0
2467,290,0,0
310,416,0,0
135,416,0,0
25,416,0,0
75,344,0,0
66,344,0,0
340,416,0,0
121,350,0,0
424,83,0,0
422,344,0,0
346,416,0,0
353,85,0,0
3,349,0,0
250,344,0,0
121,1,0,0
431,65,0,0
431,360,0,0
351,83,0,0
360,83,0,0
2,83,0,0
431,398,0,0
317,362,0,0
434,1,0,0
239,416,0,0
434,1,0,0
349,83,0,0
297,398,0,0
431,2,0,0
431,1657,0,0
102,344,0,0
302,85,0,0
2926,27,0,0
259,11,0,0
445,11,0,0
986,362,0,0
45,349,0,0
404,11,0,0
404,416,0,0
310,416,0,0
83,416,0,0
71,416,0,0
451,1,0,0
447,78,0,0
83,436,0,0
423,142,0,0
297,398,0,0
447,456,0,0
317,11,0,0
66,1,0,0
373,184,0,0
441,382,0,0
66,382,0,0
373,447,0,0
75,441,0,0
2,416,0,0
11,441,0,0
1,416,0,0
27,441,0,0
2,349,0,0
463,303,0,0
25,441,0,0
317,370,0,0
370,1,0,0
370,81,0,0
322,450,0,0
466,1,0,0
468,398,0,0
143,462,0,0
143,290,0,0
25,290,0,0
470,381,0,0
135,462,0,0
350,290,0,0
454,462,0,0
239,462,0,0
454,462,0,0
349,462,0,0
135,462,0,0
416,462,0,0
349,462,0,0
2,462,0,0
454,1,0,0
135,351,0,0
469,78,0,0
93,441,0,0
405,290,0,0
459,462,0,0
405,462,0,0
290,462,0,0
430,396,0,0
763,351,0,0
340,462,0,0
382,462,0,0
370,85,0,0
297,362,0,0
473,83,0,0
480,1,0,0
36108,143,0,0
375,462,0,0
375,462,0,0
375,462,0,0
431,362,0,0
250,353,0,0
431,370,0,0
302,482,0,0
250,482,0,0
317,370,0,0
310,284,0,0
425,290,0,0
360,284,0,0
66,284,0,0
488,65,0,0
350,456,0,0
297,462,0,0
360,362,0,0
360,350,0,0
310,438,0,0
382,297,0,0
350,490,0,0
75,344,0,0
1,438,0,0
296,398,0,0
310,2,0,0
493,85,0,0
381,284,0,0
381,284,0,0
381,83,0,0
381,344,0,0
498,462,0,0
498,462,0,0
381,284,0,0
498,143,0,0
360,490,0,0
322,296,0,0
297,492,0,0
135,490,0,0
297,360,0,0
3,498,0,0
66,396,0,0
513,297,0,0
431,360,0,0
297,490,0,0
297,498,0,0
451,65,0,0
513,290,0,0
451,65,0,0
519,360,0,0
93,65,0,0
350,65,0,0
522,462,0,0
986,360,0,0
532,462,0,0
322,344,0,0
424,490,0,0
397,75,0,0
454,65,0,0
397,83,0,0
539,65,0,0
350,467,0,0
2,297,0,0
556,550,0,0
158,550,0,0
135,550,0,0
350,550,0,0
370,65,0,0
556,538,0,0
135,65,0,0
350,538,0,0
562,538,0,0
370,2,0,0
1,540,0,0
290,540,0,0
83,65,0,0
83,65,0,0
440,467,0,0
290,570,0,0
350,284,0,0
429,462,0,0
429,462,0,0
136,550,0,0
431,467,0,0
572,65,0,0
382,65,0,0
426,290,0,0
66,290,0,0
577,143,0,0
2,290,0,0
382,290,0,0
3,550,0,0
143,540,0,0
582,284,0,0
428,492,0,0
302,570,0,0
353,587,0,0
93,451,0,0
3,587,0,0
428,353,0,0
350,587,0,0
239,587,0,0
350,353,0,0
75,353,0,0
66,349,0,0
590,467,0,0
603,349,0,0
424,353,0,0
370,290,0,0
605,65,0,0
605,65,0,0
613,482,0,0
440,607,0,0
2,66,0,0
613,135,0,0
307,1,0,0
66,290,0,0
349,66,0,0
375,349,0,0
468,349,0,0
310,451,0,0
619,65,0,0
143,618,0,0
586,621,0,0
350,617,0,0
440,617,0,0
78,621,0,0
93,621,0,0
630,586,0,0
1,625,0,0
350,625,0,0
362,1,0,0
121,290,0,0
622,332,0,0
30,467,0,0
250,135,0,0
763,351,0,0
577,16,0,0
307,135,0,0
493,66,0,0
340,349,0,0
986,332,0,0
445,441,0,0
642,441,0,0
643,349,0,0
447,353,0,0
297,332,0,0
423,648,0,0
340,648,0,0
360,332,0,0
349,641,0,0
136,650,0,0
322,332,0,0
619,1,0,0
657,65,0,0
619,143,0,0
519,332,0,0
322,350,0,0
143,426,0,0
200,16,0,0
519,1,0,0
397,75,0,0
