source,target,time_stamps/seconds,time_window
1467,1591,0,0
1513,1591,0,0
1591,1467,0,0
1591,1467,0,0
1591,1467,0,0
1591,1467,0,0
1467,1591,0,0
1467,1591,0,0
1467,1591,0,0
1568,1591,0,0
1568,1591,0,0
1568,1591,0,0
1568,1591,0,0
1562,1467,0,0
1524,1562,0,0
1524,1562,0,0
1771,1428,0,0
1600,1523,0,0
1525,1529,0,0
1600,1544,0,0
1600,1529,0,0
1600,1519,0,0
1544,1529,0,0
1544,1519,0,0
1600,1525,0,0
1600,1583,0,0
1510,1519,0,0
1544,1525,0,0
1519,1583,0,0
1519,1525,0,0
1519,1529,0,0
1549,1525,0,0
1583,1529,0,0
1510,1525,0,0
1583,1525,0,0
1553,1525,0,0
1583,1510,0,0
1606,1523,0,0
1600,1510,0,0
1600,1544,0,0
1600,1549,0,0
1600,1529,0,0
1600,1519,0,0
1510,1544,0,0
1544,1583,0,0
1544,1529,0,0
1544,1519,0,0
1549,1529,0,0
1519,1553,0,0
1523,1525,0,0
1600,1553,0,0
1600,1525,0,0
1600,1583,0,0
1510,1549,0,0
1510,1529,0,0
1510,1519,0,0
1544,1553,0,0
1544,1549,0,0
1544,1525,0,0
1519,1549,0,0
1519,1583,0,0
1519,1525,0,0
1519,1529,0,0
1549,1553,0,0
1549,1525,0,0
1549,1583,0,0
1583,1529,0,0
1553,1523,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1600,1510,0,0
1600,1544,0,0
1600,1549,0,0
1600,1529,0,0
1600,1519,0,0
1510,1544,0,0
1544,1583,0,0
1544,1529,0,0
1544,1519,0,0
1549,1529,0,0
1519,1553,0,0
1523,1525,0,0
1600,1553,0,0
1600,1525,0,0
1600,1583,0,0
1510,1549,0,0
1510,1529,0,0
1510,1519,0,0
1544,1553,0,0
1544,1523,0,0
1544,1549,0,0
1544,1525,0,0
1519,1549,0,0
1519,1583,0,0
1519,1523,0,0
1519,1525,0,0
1519,1529,0,0
1549,1553,0,0
1549,1525,0,0
1549,1583,0,0
1583,1529,0,0
1553,1523,0,0
1529,1525,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1600,1553,0,0
1600,1523,0,0
1600,1525,0,0
1600,1583,0,0
1510,1549,0,0
1510,1529,0,0
1510,1519,0,0
1544,1553,0,0
1544,1523,0,0
1544,1549,0,0
1544,1525,0,0
1519,1549,0,0
1519,1583,0,0
1519,1523,0,0
1519,1525,0,0
1519,1529,0,0
1549,1553,0,0
1549,1523,0,0
1549,1525,0,0
1549,1583,0,0
1583,1529,0,0
1553,1523,0,0
1523,1529,0,0
1529,1525,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1519,1549,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1622,1529,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1523,0,0
1553,1525,0,0
1510,1553,0,0
1583,1510,0,0
1510,1525,0,0
1583,1553,0,0
1583,1525,0,0
1553,1523,0,0
1553,1525,0,0
1523,1525,0,0
1510,1553,0,0
1583,1523,0,0
1583,1510,0,0
1510,1553,0,0
1510,1599,0,0
1583,1523,0,0
1513,1560,0,0
1523,1599,0,0
1525,1599,0,0
1510,1523,0,0
1583,1510,0,0
1553,1525,0,0
1523,1525,0,0
1513,1560,0,0
1523,1599,0,0
1525,1599,0,0
1510,1523,0,0
1583,1510,0,0
1513,1560,0,0
1523,1599,0,0
1525,1599,0,0
1510,1523,0,0
1583,1510,0,0
1602,1631,0,0
1583,1553,0,0
1525,1599,0,0
1510,1553,0,0
1510,1523,0,0
1583,1523,0,0
1553,1523,0,0
1583,1510,0,0
1510,1553,0,0
1510,1523,0,0
1583,1523,0,0
1553,1523,0,0
1553,1525,0,0
1553,1599,0,0
1523,1599,0,0
1523,1525,0,0
1583,1510,0,0
1510,1599,0,0
1583,1599,0,0
1602,1631,0,0
1583,1510,0,0
1583,1525,1,1
1583,1599,1,1
1599,1525,1,1
1602,1631,1,1
1510,1525,1,1
1523,1525,1,1
1573,1519,1,1
1537,1560,1,1
1599,1523,1,1
1583,1510,1,1
1573,1519,1,1
1537,1560,1,1
