source,target,time_stamps/seconds,time_window
492,938,0,0
267,272,0,0
181,826,0,0
79,181,0,0
150,196,0,0
21,150,0,0
21,205,0,0
21,150,0,0
448,826,0,0
765,826,0,0
39,253,0,0
80,253,0,0
123,845,0,0
118,311,0,0
95,118,0,0
80,95,0,0
123,845,0,0
95,311,0,0
118,311,0,0
80,118,0,0
95,118,0,0
123,845,0,0
95,311,0,0
118,311,0,0
95,118,0,0
95,311,0,0
123,845,0,0
118,311,0,0
118,771,0,0
95,771,0,0
311,771,0,0
95,118,0,0
123,845,0,0
95,311,0,0
118,311,0,0
21,205,0,0
95,771,0,0
95,118,0,0
123,845,0,0
95,311,0,0
118,771,0,0
118,311,0,0
95,771,0,0
95,118,0,0
123,845,0,0
95,311,0,0
123,845,0,0
123,845,0,0
153,205,0,0
123,845,0,0
123,845,0,0
164,311,0,0
123,845,0,0
21,179,0,0
123,845,0,0
311,481,0,0
79,122,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
122,448,0,0
122,448,0,0
122,448,0,0
122,448,0,0
21,150,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
39,120,0,0
21,150,0,0
39,120,0,0
39,120,0,0
120,819,0,0
431,778,0,0
271,601,0,0
431,778,0,0
431,778,0,0
431,778,0,0
15,95,0,0
56,194,0,0
56,194,0,0
194,786,0,0
194,311,0,0
311,786,0,0
311,786,0,0
194,786,0,0
194,786,0,0
194,311,0,0
311,786,0,0
194,786,0,0
311,786,0,0
311,786,0,0
194,786,0,0
194,786,0,0
194,786,0,0
311,786,0,0
194,786,0,0
95,311,0,0
95,205,0,0
271,601,0,0
21,603,0,0
205,311,0,0
95,311,0,0
95,311,0,0
95,123,0,0
205,311,0,0
150,271,0,0
150,271,0,0
311,496,0,0
21,431,0,0
79,275,0,0
271,601,0,0
222,267,0,0
50,179,0,0
222,267,0,0
222,267,0,0
271,601,0,0
222,267,0,0
222,267,0,0
150,601,0,0
120,172,0,0
271,448,0,0
271,601,0,0
29,271,0,0
120,223,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
120,172,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
271,601,0,0
116,123,0,0
271,601,0,0
271,601,0,0
29,95,0,0
123,253,0,0
123,253,0,0
123,253,0,0
120,172,1,1
120,172,1,1
79,253,1,1
311,496,1,1
311,496,1,1
285,762,1,1
285,762,1,1
285,762,1,1
285,762,1,1
285,762,1,1
123,253,1,1
285,762,1,1
150,601,1,1
285,762,1,1
150,762,1,1
29,79,1,1
150,762,1,1
150,762,1,1
150,762,1,1
150,762,1,1
116,826,1,1
63,481,1,1
120,172,1,1
120,172,1,1
63,481,1,1
762,771,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
63,481,1,1
56,939,1,1
50,335,1,1
123,253,1,1
778,826,1,1
778,826,1,1
223,496,1,1
123,253,1,1
29,56,1,1
29,56,1,1
29,56,1,1
29,56,1,1
29,56,1,1
95,819,1,1
123,253,1,1
29,56,1,1
116,778,1,1
